Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Average Demand (MW)
13.4,20.3,0.0,7.4,1.6,4676.55
14.5,19.3,0.0,3.0,3.4,4515.96
13.7,25.9,0.0,5.4,13.1,4514.36
13.5,30.6,0.0,6.6,4.1,5057.38
17.3,29.8,0.4,7.8,8.9,5126.68
16.9,25.4,1.6,9.0,9.5,4078.21
14.7,19.2,1.8,5.6,2.0,3908.72
15.0,19.2,0.4,4.0,1.7,4433.68
12.0,25.2,0.0,4.0,12.7,4545.68
13.8,31.5,0.0,7.4,11.6,5302.47
17.2,32.8,0.0,8.0,5.5,5738.28
17.4,23.3,4.6,12.2,5.6,4863.3
14.7,20.8,0.0,6.0,4.9,4138.53
12.7,20.0,0.0,4.0,8.1,3959.49
14.4,24.6,0.0,5.6,9.2,4546.15
15.9,31.3,0.0,6.2,8.3,5213.0
16.6,28.8,0.0,7.4,11.9,5501.66
18.1,31.8,0.0,11.4,12.4,5655.53
18.2,32.6,0.0,8.0,12.4,5847.15
20.3,23.8,0.0,13.6,5.9,5173.04
17.9,20.6,0.0,6.0,0.0,4511.21
15.9,21.8,0.0,2.8,6.3,4491.87
13.1,19.2,0.0,7.2,8.5,4462.34
13.0,20.2,0.0,5.0,9.9,4619.74
11.3,24.3,0.0,5.8,8.7,4572.13
13.3,19.7,0.4,7.0,6.3,4587.11
11.3,18.6,0.0,6.0,1.0,4400.26
10.6,26.7,0.0,2.4,9.2,4150.62
13.8,21.7,0.0,6.4,6.3,4577.89
13.3,18.1,0.0,6.2,1.4,4728.49
14.2,17.7,0.0,4.4,2.1,4797.3
13.6,21.4,0.0,4.0,2.6,4793.28
15.0,18.0,1.4,4.4,3.6,4638.45
14.2,19.4,0.0,5.6,10.0,4003.7
11.3,28.5,0.0,6.0,7.9,4216.0
13.7,19.6,0.2,6.0,0.0,4568.32
13.5,19.6,5.4,0.2,6.9,4751.43
12.2,20.1,0.2,6.8,7.2,4732.6
11.6,24.7,0.0,5.0,4.6,4997.13
14.9,30.3,0.0,4.0,10.1,5113.7
17.7,27.2,0.0,9.6,0.3,4552.11
11.0,17.7,17.2,7.4,10.0,3981.47
8.9,22.2,0.0,2.4,5.2,4821.7
11.1,20.6,0.0,2.2,8.0,4774.06
13.9,26.4,0.0,2.8,9.9,4859.81
13.8,24.9,0.0,5.8,5.1,4943.45
14.2,26.1,0.0,5.2,6.1,4813.98
14.0,26.0,0.0,5.4,5.3,4249.4
16.7,21.7,1.2,3.0,0.0,4363.72
17.5,24.2,5.6,2.6,1.8,4858.7
17.6,22.0,13.8,0.6,0.6,5044.64
17.0,20.3,0.6,2.2,1.7,4890.28
15.5,21.1,4.6,2.8,3.1,4722.0
11.2,22.0,0.2,2.8,6.5,4711.55
13.2,21.3,3.4,3.8,4.1,4236.06
12.4,20.2,0.0,4.4,3.9,4185.45
13.8,18.2,1.0,2.8,8.0,4729.43
9.8,18.9,0.0,3.6,10.2,4773.77
11.4,22.8,0.0,3.2,8.9,4837.62
12.4,29.9,0.0,4.4,10.8,4895.81
13.5,30.6,0.0,6.6,10.8,4311.28
15.1,31.6,0.0,4.4,10.9,4340.83
15.2,24.5,0.0,8.6,10.1,4146.26
16.0,19.0,0.0,5.8,8.1,4069.43
12.8,20.2,0.0,4.0,4.4,4565.45
14.9,23.0,0.0,3.2,4.9,4825.96
15.4,29.3,0.0,4.6,4.9,4893.04
13.8,17.3,6.2,6.4,7.9,4635.51
12.9,18.3,0.2,2.8,3.9,4322.7
8.1,14.5,3.4,5.2,6.1,4482.64
9.7,16.8,10.0,3.2,3.9,5216.91
7.8,20.0,0.6,0.0,2.5,5043.91
11.5,20.8,0.0,7.8,6.8,4683.17
14.0,20.2,0.0,7.4,5.4,4853.4
11.5,15.1,1.0,4.2,1.3,5162.77
12.3,17.7,0.0,3.2,3.7,4533.3
13.1,18.8,0.0,3.2,0.7,4437.57
12.0,20.6,0.0,2.8,2.3,4870.11
14.0,18.7,0.0,5.6,1.9,5204.79
7.1,14.9,10.4,0.2,7.7,5252.49
9.9,17.0,0.0,4.0,1.6,5263.55
12.1,17.3,0.4,3.0,2.0,5119.79
13.1,18.3,0.0,3.2,1.8,4683.98
9.9,17.8,2.6,1.2,3.6,4584.09
10.9,17.9,1.2,2.2,0.8,5201.49
11.8,16.6,0.6,2.0,0.9,5327.87
7.4,16.9,0.4,3.0,9.5,5244.55
8.2,18.4,0.0,2.2,9.9,5241.09
9.5,24.4,0.0,0.0,10.2,5002.3
11.2,24.6,0.0,5.4,7.1,4287.96
13.7,26.0,0.0,6.4,3.8,4147.45
12.5,18.2,0.2,6.8,0.8,5041.85
9.4,15.5,30.8,4.6,0.1,5358.66
7.2,17.3,0.0,0.8,9.1,5157.17
7.6,22.2,0.0,2.0,8.4,5217.23
10.5,21.5,0.2,2.4,3.6,5122.34
9.9,19.8,0.0,2.8,5.1,4493.74
11.0,20.5,0.4,0.0,7.1,4226.3
11.7,16.9,0.2,3.8,0.5,5069.04
10.7,16.3,15.8,2.8,0.1,5278.49
7.3,18.5,0.8,2.6,8.8,5102.38
8.1,17.6,0.0,1.2,1.0,5375.0
7.8,15.6,4.2,2.4,4.5,5292.3
7.3,12.9,7.4,2.4,7.5,4902.68
8.3,15.5,0.2,3.0,3.2,4863.47
10.2,15.4,0.4,0.6,7.1,5419.28
10.0,16.0,0.0,1.8,0.7,5657.04
9.8,18.5,0.0,3.6,6.7,5185.79
12.0,17.0,0.0,4.0,0.2,5584.74
6.2,17.7,0.0,1.6,8.9,5493.34
3.6,19.2,0.0,3.0,9.3,4948.34
6.1,20.2,0.0,3.4,8.8,4676.06
6.8,19.9,0.0,2.6,4.8,5159.51
10.6,20.9,0.0,5.6,3.2,5081.04
11.9,14.7,5.0,3.4,1.4,5345.23
9.8,15.0,0.4,1.6,0.6,5423.83
11.0,13.8,0.4,0.4,0.5,5492.6
10.4,13.1,0.0,2.0,4.1,5008.28
1.7,14.5,0.0,2.4,8.9,5024.7
3.0,16.1,0.0,2.2,9.1,5577.81
5.7,15.7,0.0,4.0,1.3,5695.7
9.2,19.6,0.0,3.2,7.7,5319.91
10.4,16.9,0.2,3.4,7.5,5288.62
10.0,13.6,2.0,1.2,2.0,5439.32
3.8,12.9,0.0,1.4,3.5,5217.96
6.7,14.7,0.0,2.6,4.2,4853.15
10.7,17.2,0.0,1.0,2.6,5224.34
9.3,13.2,3.0,4.8,2.3,5796.6
7.8,14.7,4.0,1.6,0.5,5899.34
9.7,15.1,12.0,3.6,0.3,5389.91
6.8,15.0,0.4,0.4,1.3,5552.89
7.4,16.5,9.4,0.4,1.0,4934.26
10.9,15.9,0.0,1.4,0.7,4897.06
9.7,16.4,0.0,1.4,1.6,4982.4
7.0,15.6,0.0,0.8,0.0,5592.7
8.3,16.0,1.8,2.2,2.9,5622.53
7.8,12.9,0.8,1.0,2.6,5997.6
6.1,13.2,1.6,1.8,0.1,5903.96
9.1,16.2,2.2,1.6,4.0,5004.53
5.2,14.5,0.0,0.0,6.9,5097.77
3.9,15.4,0.2,0.4,9.1,5867.11
3.7,16.3,0.0,2.0,1.9,5917.68
5.6,15.3,0.0,2.7,2.1,5739.15
9.8,16.7,0.0,1.0,5.2,5457.34
10.6,13.2,0.6,2.4,0.3,5843.89
10.0,13.4,5.6,0.2,4.6,5143.79
9.7,15.3,0.0,2.4,4.9,4957.85
